rank,meigara,kuramoto,detail_url,cluster
1,獺祭,旭酒造（山口県）,http://www.sakeno.com/meigara/931,2
2,醸し人九平次,萬乗醸造,http://www.sakeno.com/meigara/735,2
3,出羽桜,出羽桜酒造,http://www.sakeno.com/meigara/219,2
4,田酒,西田酒造店,http://www.sakeno.com/meigara/11,2
5,黒龍,黒龍酒造,http://www.sakeno.com/meigara/667,2
6,飛露喜,廣木酒造本店,http://www.sakeno.com/meigara/409,5
7,新政,新政酒造,http://www.sakeno.com/meigara/55,0
7,雪の茅舎,齋彌酒造店,http://www.sakeno.com/meigara/62,2
7,鳳凰美田,小林酒造（栃木県）,http://www.sakeno.com/meigara/95,0
10,風の森,油長酒造,http://www.sakeno.com/meigara/898,0
10,鍋島,富久千代酒造,http://www.sakeno.com/meigara/1482,0
12,くどき上手,亀の井酒造（山形県）,http://www.sakeno.com/meigara/1133,2
12,十四代,高木酒造（山形県）,http://www.sakeno.com/meigara/223,2
14,菊姫,菊姫,http://www.sakeno.com/meigara/643,2
15,天狗舞,車多酒造,http://www.sakeno.com/meigara/636,2
16,神亀,神亀酒造,http://www.sakeno.com/meigara/486,2
17,浦霞,佐浦,http://www.sakeno.com/meigara/47,0
18,鶴齢,青木酒造（新潟県）,http://www.sakeno.com/meigara/583,0
18,楯野川,楯の川酒造,http://www.sakeno.com/meigara/229,0
20,八海山,八海醸造,http://www.sakeno.com/meigara/593,1
21,雁木,八百新酒造,http://www.sakeno.com/meigara/1231,3
21,開運,土井酒造場,http://www.sakeno.com/meigara/729,0
21,大七,大七酒造,http://www.sakeno.com/meigara/381,0
24,〆張鶴,宮尾酒造,http://www.sakeno.com/meigara/615,1
25,久保田,朝日酒造（新潟県）,http://www.sakeno.com/meigara/577,2
25,酔鯨,酔鯨酒造,http://www.sakeno.com/meigara/365,3
25,手取川,吉田酒造店,http://www.sakeno.com/meigara/642,3
25,東一,五町田酒造,http://www.sakeno.com/meigara/293,3
25,陸奥八仙,八戸酒造,http://www.sakeno.com/meigara/24,3
30,写楽（寫樂）,宮泉銘醸,http://www.sakeno.com/meigara/1804,0
30,仙禽,株式会社せんきん,http://www.sakeno.com/meigara/457,0
32,東洋美人,澄川酒造場,http://www.sakeno.com/meigara/1094,0
32,花陽浴,南陽醸造,http://www.sakeno.com/meigara/1408,3
32,磯自慢,磯自慢酒造,http://www.sakeno.com/meigara/725,0
32,梵,加藤吉平商店,http://www.sakeno.com/meigara/674,2
36,悦凱陣,丸尾本店,http://www.sakeno.com/meigara/325,0
36,真澄,宮坂醸造,http://www.sakeno.com/meigara/120,2
36,秋鹿,秋鹿酒造,http://www.sakeno.com/meigara/802,1
36,奥播磨,下村酒造店,http://www.sakeno.com/meigara/873,3
40,王祿,王祿酒造,http://www.sakeno.com/meigara/1173,3
40,臥龍梅,三和酒造,http://www.sakeno.com/meigara/718,2
40,豊盃,三浦酒造（青森県）,http://www.sakeno.com/meigara/1098,1
43,黒牛,名手酒造店,http://www.sakeno.com/meigara/925,3
43,伯楽星,新澤醸造店,http://www.sakeno.com/meigara/1380,3
45,義侠,山忠本家酒造,http://www.sakeno.com/meigara/747,3
45,上喜元,酒田酒造,http://www.sakeno.com/meigara/224,0
47,日高見,平孝酒造,http://www.sakeno.com/meigara/184,0
47,玉川（京都府）,木下酒造,http://www.sakeno.com/meigara/1592,3
47,小左衛門,中島醸造,http://www.sakeno.com/meigara/1444,3
47,一ノ蔵,一ノ蔵,http://www.sakeno.com/meigara/177,3
47,作,清水清三郎商店,http://www.sakeno.com/meigara/762,3
47,奈良萬,夢心酒造,http://www.sakeno.com/meigara/1262,3
53,屋守,豊島屋酒造,http://www.sakeno.com/meigara/1361,3
53,村祐,村祐酒造,http://www.sakeno.com/meigara/1130,3
53,白瀑,山本,http://www.sakeno.com/meigara/60,1
53,南部美人,南部美人,http://www.sakeno.com/meigara/37,2
57,三芳菊,三芳菊酒造,http://www.sakeno.com/meigara/1456,0
57,七田,天山酒造,http://www.sakeno.com/meigara/1352,3
57,雨後の月,相原酒造,http://www.sakeno.com/meigara/1189,3
57,紀土 KID,平和酒造（和歌山県）,http://www.sakeno.com/meigara/1590,3
61,亀齢（広島県）,亀齢酒造,http://www.sakeno.com/meigara/1031,3
61,天明,曙酒造,http://www.sakeno.com/meigara/404,0
61,満寿泉,桝田酒造店,http://www.sakeno.com/meigara/621,0
64,勝駒,清都酒造場,http://www.sakeno.com/meigara/625,3
64,蓬莱泉,関谷醸造,http://www.sakeno.com/meigara/756,2
64,東光,小嶋総本店,http://www.sakeno.com/meigara/240,3
64,雅山流,新藤酒造店,http://www.sakeno.com/meigara/245,3
64,緑川,緑川酒造,http://www.sakeno.com/meigara/584,3
64,正雪,神沢川酒造場,http://www.sakeno.com/meigara/1102,3
70,まんさくの花,日の丸醸造,http://www.sakeno.com/meigara/206,3
70,飛良泉,飛良泉本舗,http://www.sakeno.com/meigara/196,3
70,七本槍,冨田酒造,http://www.sakeno.com/meigara/1211,0
70,澤乃井,小澤酒造,http://www.sakeno.com/meigara/112,0
70,遊穂,御祖酒造,http://www.sakeno.com/meigara/1300,3
70,あさ開,あさ開,http://www.sakeno.com/meigara/27,2
70,姿,飯沼銘醸,http://www.sakeno.com/meigara/1616,3
77,南,南酒造場,http://www.sakeno.com/meigara/378,3
77,宝剣,宝剣酒造,http://www.sakeno.com/meigara/1020,0
77,大那,菊の里酒造,http://www.sakeno.com/meigara/1473,3
77,越乃寒梅,石本酒造,http://www.sakeno.com/meigara/1169,2
77,春鹿,今西清兵衛商店,http://www.sakeno.com/meigara/887,3
77,常きげん,鹿野酒造,http://www.sakeno.com/meigara/647,3
77,五橋,酒井酒造,http://www.sakeno.com/meigara/928,3
77,加賀鳶,福光屋,http://www.sakeno.com/meigara/641,3
77,国権,国権酒造,http://www.sakeno.com/meigara/391,3
77,刈穂,刈穂酒造,http://www.sakeno.com/meigara/198,0
77,松の司,松瀬酒造,http://www.sakeno.com/meigara/793,4
77,ロ万,花泉酒造,http://www.sakeno.com/meigara/1618,3
77,剣菱,剣菱酒造,http://www.sakeno.com/meigara/843,2
90,綿屋,金の井酒造,http://www.sakeno.com/meigara/1546,3
90,山間,新潟第一酒造,http://www.sakeno.com/meigara/1517,3
90,秀鳳,秀鳳酒造場,http://www.sakeno.com/meigara/217,3
90,越乃景虎,諸橋酒造,http://www.sakeno.com/meigara/570,3
90,菊水,菊水酒造（新潟県）,http://www.sakeno.com/meigara/136,2
90,亀泉,亀泉酒造,http://www.sakeno.com/meigara/367,3
90,銀嶺立山,立山酒造,http://www.sakeno.com/meigara/634,3
90,三千盛,三千盛,http://www.sakeno.com/meigara/699,3
90,尾瀬の雪どけ,龍神酒造,http://www.sakeno.com/meigara/473,3
90,ひこ孫,神亀酒造,http://www.sakeno.com/meigara/487,3
90,庭のうぐいす,山口酒造場,http://www.sakeno.com/meigara/263,3
101,麒麟山,麒麟山酒造,http://www.sakeno.com/meigara/135,3
101,来福,来福酒造,http://www.sakeno.com/meigara/447,3
101,乾坤一,大沼酒造店,http://www.sakeno.com/meigara/1153,0
101,墨廼江,墨廼江酒造,http://www.sakeno.com/meigara/183,3
101,石鎚,石鎚酒造,http://www.sakeno.com/meigara/348,3
101,初亀,初亀醸造,http://www.sakeno.com/meigara/728,3
101,初孫,東北銘醸,http://www.sakeno.com/meigara/228,2
101,早瀬浦,三宅彦右衛門酒造,http://www.sakeno.com/meigara/675,3
101,羽根屋,富美菊酒造,http://www.sakeno.com/meigara/1598,3
101,天の戸,浅舞酒造,http://www.sakeno.com/meigara/210,3
101,佐久乃花,佐久の花酒造,http://www.sakeno.com/meigara/1131,3
101,幻,中尾醸造,http://www.sakeno.com/meigara/1042,3
113,郷乃誉,須藤本家（茨城県）,http://www.sakeno.com/meigara/1081,0
113,諏訪泉,諏訪酒造,http://www.sakeno.com/meigara/949,3
113,李白,李白酒造,http://www.sakeno.com/meigara/964,3
113,酔心,酔心山根本店,http://www.sakeno.com/meigara/1044,3
113,長珍,長珍酒造,http://www.sakeno.com/meigara/1594,3
113,呉春,呉春,http://www.sakeno.com/meigara/801,3
113,一白水成,福禄寿酒造,http://www.sakeno.com/meigara/1753,0
113,不動,鍋店,http://www.sakeno.com/meigara/1599,3
113,繁桝,高橋商店,http://www.sakeno.com/meigara/278,3
113,蒼空,藤岡酒造,http://www.sakeno.com/meigara/1087,3
113,雪中梅,丸山酒造場,http://www.sakeno.com/meigara/610,3
113,喜久酔,青島酒造,http://www.sakeno.com/meigara/722,3
113,泉川,廣木酒造本店,http://www.sakeno.com/meigara/408,3
113,車坂,吉村秀雄商店,http://www.sakeno.com/meigara/1353,3
113,梅乃宿,梅乃宿酒造,http://www.sakeno.com/meigara/899,3
128,いづみ橋,泉橋酒造,http://www.sakeno.com/meigara/499,3
128,大信州,大信州酒造,http://www.sakeno.com/meigara/126,3
128,龍力,本田商店,http://www.sakeno.com/meigara/871,0
128,嘉美心,嘉美心酒造,http://www.sakeno.com/meigara/996,3
128,残草蓬莱,大矢孝酒造,http://www.sakeno.com/meigara/1174,3
128,栄光冨士,冨士酒造,http://www.sakeno.com/meigara/72,3
128,貴,永山本家酒造場,http://www.sakeno.com/meigara/1085,0
128,水芭蕉,永井酒造,http://www.sakeno.com/meigara/99,3
