meigara_id,rank,meigara,yomi,kuramoto,prefecture,city,detail_url
1,1,獺祭,だっさい,旭酒造（山口県）,山口県,岩国市,http://www.sakeno.com/meigara/931
2,2,醸し人九平次,かもしびとくへいじ,萬乗醸造,愛知県,名古屋市,http://www.sakeno.com/meigara/735
3,3,出羽桜,でわざくら,出羽桜酒造,山形県,天童市,http://www.sakeno.com/meigara/219
4,4,田酒,でんしゅ,西田酒造店,青森県,青森市,http://www.sakeno.com/meigara/11
5,5,黒龍,こくりゅう,黒龍酒造,福井県,吉田郡,http://www.sakeno.com/meigara/667
6,6,飛露喜,ひろき,廣木酒造本店,福島県,河沼郡,http://www.sakeno.com/meigara/409
7,7,新政,あらまさ,新政酒造,秋田県,秋田市,http://www.sakeno.com/meigara/55
8,7,雪の茅舎,ゆきのぼうしゃ,齋彌酒造店,秋田県,由利本荘市,http://www.sakeno.com/meigara/62
9,7,鳳凰美田,ほうおうびでん,小林酒造（栃木県）,栃木県,小山市,http://www.sakeno.com/meigara/95
10,10,風の森,かぜのもり,油長酒造,奈良県,御所市,http://www.sakeno.com/meigara/898
11,10,鍋島,なべしま,富久千代酒造,佐賀県,鹿島市,http://www.sakeno.com/meigara/1482
12,12,くどき上手,くどきじょうず,亀の井酒造（山形県）,山形県,鶴岡市,http://www.sakeno.com/meigara/1133
13,12,十四代,じゅうよんだい,高木酒造（山形県）,山形県,村山市,http://www.sakeno.com/meigara/223
14,14,菊姫,きくひめ,菊姫,石川県,白山市,http://www.sakeno.com/meigara/643
15,15,天狗舞,てんぐまい,車多酒造,石川県,白山市,http://www.sakeno.com/meigara/636
16,16,神亀,しんかめ,神亀酒造,埼玉県,蓮田市,http://www.sakeno.com/meigara/486
17,17,浦霞,うらかすみ,佐浦,宮城県,塩竈市,http://www.sakeno.com/meigara/47
18,18,鶴齢,かくれい,青木酒造（新潟県）,新潟県,南魚沼市,http://www.sakeno.com/meigara/583
19,18,楯野川,たてのかわ,楯の川酒造,山形県,酒田市,http://www.sakeno.com/meigara/229
20,20,八海山,はっかいさん,八海醸造,新潟県,南魚沼市,http://www.sakeno.com/meigara/593
21,21,雁木,がんぎ,八百新酒造,山口県,岩国市,http://www.sakeno.com/meigara/1231
22,21,開運,かいうん,土井酒造場,静岡県,掛川市,http://www.sakeno.com/meigara/729
