	rank,meigara,kuramoto,detail_url,highscore_words
1,獺祭,旭酒造（山口県）,http://www.sakeno.com/meigara/931,良い 美味しい 悪い ない うまい
2,醸し人九平次,萬乗醸造,http://www.sakeno.com/meigara/735,美味い 不味い ない 甘い 旨い
3,出羽桜,出羽桜酒造,http://www.sakeno.com/meigara/219,素晴らしい 甘い やすい イイ 美味しい
4,田酒,西田酒造店,http://www.sakeno.com/meigara/11,良い 旨い 無い うまい ない
5,黒龍,黒龍酒造,http://www.sakeno.com/meigara/667,良い うまい おいしい ない いい
6,飛露喜,廣木酒造本店,http://www.sakeno.com/meigara/409,旨い うまい 良い 無い 硬い
7,新政,新政酒造,http://www.sakeno.com/meigara/55,甘酸っぱい 優しい 強い 柔らかい ない
7,雪の茅舎,齋彌酒造店,http://www.sakeno.com/meigara/62,甘い 素晴らしい 美味しい 良い 数多い
7,鳳凰美田,小林酒造（栃木県）,http://www.sakeno.com/meigara/95,いい 美味しい 甘い 良い 強い
10,風の森,油長酒造,http://www.sakeno.com/meigara/898,甘い 旨い 悪い 高い うまい
10,鍋島,富久千代酒造,http://www.sakeno.com/meigara/1482,良い 甘い 無い 美味しい 辛い
12,くどき上手,亀の井酒造（山形県）,http://www.sakeno.com/meigara/1133,くどい 甘い 素晴らしい 強い 良い
12,十四代,高木酒造（山形県）,http://www.sakeno.com/meigara/223,ない 旨い 良い 物凄い 美味しい
14,菊姫,菊姫,http://www.sakeno.com/meigara/643,美味い 濃い 旨い 美味しい 甘ったるい
15,天狗舞,車多酒造,http://www.sakeno.com/meigara/636,強い 美味しい いい 旨い 安い
16,神亀,神亀酒造,http://www.sakeno.com/meigara/486,旨い ない 素晴らしい 重い やさしい
17,浦霞,佐浦,http://www.sakeno.com/meigara/47,すばらしい 美味しい 良い イイ いい
18,鶴齢,青木酒造（新潟県）,http://www.sakeno.com/meigara/583,淡い よい 濃い やすい 強い
18,楯野川,楯の川酒造,http://www.sakeno.com/meigara/229,素晴らしい いい 濃い 美味しい 甘い
20,八海山,八海醸造,http://www.sakeno.com/meigara/593,高い 良い ない いい 軽い
21,雁木,八百新酒造,http://www.sakeno.com/meigara/1231,おとなしい 良い 旨い やすい すばらしい
21,開運,土井酒造場,http://www.sakeno.com/meigara/729,良い 鋭い 甘い 旨い ない
21,大七,大七酒造,http://www.sakeno.com/meigara/381,物足りない 多い 美味しい うまい おいしい
24,〆張鶴,宮尾酒造,http://www.sakeno.com/meigara/615,淡い 美味しい 高い 旨い ない
25,久保田,朝日酒造（新潟県）,http://www.sakeno.com/meigara/577,ない 美味しい 良い 悪い 高い
25,酔鯨,酔鯨酒造,http://www.sakeno.com/meigara/365,ない 頼もしい やすい 良い 淡い
25,手取川,吉田酒造店,http://www.sakeno.com/meigara/642,美味しい 力強い 重い 淡い いい
25,東一,五町田酒造,http://www.sakeno.com/meigara/293,うまい 気持ち良い 良い やさしい よい
25,陸奥八仙,八戸酒造,http://www.sakeno.com/meigara/24,キメ細かい 美味い 良い 高い しつこい
30,写楽（寫樂）,宮泉銘醸,http://www.sakeno.com/meigara/1804,旨い おいしい 憎らしい 良い すごい
30,仙禽,株式会社せんきん,http://www.sakeno.com/meigara/457,甘酸っぱい 甘い 強い 凄い 良い
